rs,lr,sr,alpha,aggregate,acc_train,kappa_train,acc_eval,kappa_eval,f1_weighted
500,0.9,0.7,1.0,concat,0.9652777777777778,0.9537037037037037,0.5625,0.41666666666666663,0.5388671679197995
500,0.9,0.7,100.0,final,0.5486111111111112,0.39814814814814814,0.3993055555555556,0.19907407407407407,0.3897929778019681
500,0.9,0.7,100.0,mean,0.6527777777777778,0.537037037037037,0.6041666666666666,0.4722222222222222,0.5468552653907225
500,0.9,0.7,100.0,concat,0.7256944444444444,0.6342592592592593,0.5833333333333334,0.4444444444444444,0.5430243268671878
500,0.9,0.7,10000.0,final,0.4201388888888889,0.22685185185185186,0.40625,0.20833333333333337,0.3491292558718534
500,0.9,0.7,10000.0,mean,0.5729166666666666,0.4305555555555556,0.5729166666666666,0.4305555555555556,0.5019746034758671
500,0.9,0.7,10000.0,concat,0.5277777777777778,0.37037037037037035,0.5173611111111112,0.3564814814814815,0.46429554958643326
500,0.9,0.9,1.0,final,0.9618055555555556,0.9490740740740741,0.3472222222222222,0.12962962962962965,0.34110935788929814
500,0.9,0.9,1.0,mean,0.7604166666666666,0.6805555555555556,0.6180555555555556,0.4907407407407407,0.5910062038315659
500,0.9,0.9,1.0,concat,0.9930555555555556,0.9907407407407407,0.5347222222222222,0.37962962962962965,0.5144610250854765
500,0.9,0.9,100.0,final,0.6319444444444444,0.5092592592592593,0.4131944444444444,0.21759259259259256,0.407816564449735
500,0.9,0.9,100.0,mean,0.6527777777777778,0.537037037037037,0.59375,0.45833333333333337,0.5341447152115041
500,0.9,0.9,100.0,concat,0.78125,0.7083333333333333,0.5520833333333334,0.4027777777777778,0.5189258556358758
500,0.9,0.9,10000.0,final,0.4270833333333333,0.23611111111111116,0.4305555555555556,0.2407407407407407,0.3712220012335784
500,0.9,0.9,10000.0,mean,0.59375,0.45833333333333337,0.59375,0.45833333333333337,0.5320200907502851
500,0.9,0.9,10000.0,concat,0.5416666666666666,0.38888888888888884,0.5277777777777778,0.37037037037037035,0.4733536376892483
500,0.9,1.2,1.0,final,1.0,1.0,0.3194444444444444,0.09259259259259256,0.31903374514405575
500,0.9,1.2,1.0,mean,0.78125,0.7083333333333333,0.6319444444444444,0.5092592592592593,0.6093359561652393
